Brand,Product Name,Price (INR),Product Link
Dell,"Dell Vostro, Intel Core i3 13th Gen - 1305U, 16GB DDR4 RAM, 512GB, FHD 15.6""/39.6 cm, Windows 11, Office H&S 2024, Carbon Grey, 1.66Kg, 120Hz 250 nits Narrow Border Display, Intel UHD Graphics Laptop",34990,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTAzMDQzOTk2NDEzNTM1OjE3NjA5ODk0Mzk6c3BfYXRmOjMwMDc2NDEyOTE5NDIzMjo6MDo6&url=%2FDell-Vostro-Intel-Core-13th%2Fdp%2FB0FG2RJ9NC%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1760989439%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=PFgDCfHuZA&sp_cr=ZAZ
Dell,"Dell Inspiron 3535, Windows 11 Home, AMD Ryzen 3 7320U Processor, (8GB RAM/512GB SSD/Window 11/Ms Office' 21/15.6""(39.62 Cm) FHD Display/15 Month Mcafee/Carbon Black/1.67Kg Thin & Light Laptop",28990,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTAzMDQzOTk2NDEzNTM1OjE3NjA5ODk0Mzk6c3BfYXRmOjMwMDcyMzY4MDEzMDMzMjo6MDo6&url=%2FDell-Inspiron-3535-Windows-Processor%2Fdp%2FB0DG5CY2Y2%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1760989439%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=8lmGrJDGAv&sp_cr=ZAZ
acer,"acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",20990,https://www.amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=sr_1_3?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-3
Acer,"Acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop",32490,https://www.amazon.in/5-5625U-Premium-Windows-AL15-41-Display/dp/B0DG2GCTD7/ref=sr_1_4?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-4
Lenovo,"Lenovo 14 (2025), Intel Core i5 13th Gen 13420H - (24 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.4 kg/Microsoft Office 2021",49060,https://www.amazon.in/Lenovo-14-Intel-Core-13420H/dp/B0FRYKK28X/ref=sr_1_5?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-5
acer,"acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop",27990,https://www.amazon.in/Acer-Premium-Windows-AL15-41-Display/dp/B0CWTYGPH8/ref=sr_1_6?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-6
HP,"HP 15 (2025), AMD Athlon 7120U Dual Core - (8 GB/256 GB SSD/AMD Radeon Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" HD Display/Black/1.5 kg/MS Office 2021",22790,https://www.amazon.in/HP-15-Athlon-7120U-Dual/dp/B0FKM37XT7/ref=sr_1_7?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-7
HP,"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",35490,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-fd0573TU/dp/B0F4R3GFMQ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-8
Lenovo,"Lenovo 14 (2025), Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.4 kg/Microsoft Office 2021",46480,https://www.amazon.in/Lenovo-14-Intel-Core-13420H/dp/B0FRYNXJP8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-9
HP,"HP 15s, 12th Gen Intel Core i3-1215U (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, fy5006tu/fd0751tu/fd0752tu, UHD Graphics, HD Camera, Dual Speakers Laptop",30990,https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=sr_1_10?dib=eyJ2IjoiMSJ9.jLhfpLs2T0mqHkSqEIhgAjjG1uRRj7Kwcov-_ISB--0pININMkYNPRFoDTVeWHPbstgSEyFjeXcYSyUcJLxSYV7o5VWu5vO3KTYdJ-TZKWvgwuKWD-lGJbS2YpCtSxfWNie9ymWALIbwjwMC5tF0y-LHoQekObP2D9I25ydpNnQf3TfdrK6aOz5NVbJJwv3hlpqrCedlJQNrNABOZHJcfJXa6z0kiGjImECMVRnGEG0.l9CjZ9Lsx4RmhtBvIGL_pOe7YLcTZaZpY73JxblkOz8&dib_tag=se&keywords=laptops&qid=1760989439&sr=8-10
